# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=od,Ørd
	ICON=Icons/canadian-english.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_NS=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PS4=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PS4=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_XB1=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_XB1=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PC=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PC=
		Ike tar fra masjinet
		na ka sjar denne ikon

# Main Menu
	MENU_DEBUG=		~FRABUGG~
		So you want to destroy this {+PART_OF_YOU}?
	CH6_THEO_SAY_DEFENSE=
		[THEO left wtf]
		So you want to destroy this {+PART_OF_YOU}?
		Won't that hurt you, too?

		[MADELINE right sad]
		If I don't she's just going to keep bullying me.

		[MADELINE right upset]
		She says she's protecting me,{n}but that's obviously not true.

		[THEO left normal]
		Maybe she thinks she is.
		She could be some kind of...{n}twisted defense mechanism.
		
		[MADELINE right upset]
		Honestly, who cares?
		She has so much control over me.
		I hate it.

		[THEO left wtf]
		Maybe you can learn to control her instead.

		[MADELINE right distracted]
		The feather helps a lot.

		[MADELINE right sad]
		Thanks for teaching me that.

		[THEO left thinking]
		Just one of my grandpa's many nuggets of wisdom.

	CH6_THEO_ASK_VACATION=
		[THEO left thinking]
		Why not take a vacation instead?
	CH6_THEO_SAY_VACATION=
		[THEO left thinking]
		Why not take a vacation instead?

		[MADELINE right sad]
		What do you mean?

		[THEO left normal]
		Dude, you needed a change{n}so you chose to {>> .2}climb a {+MOUNTAIN}{>>}...

		[THEO left thinking]
		Why not do something relaxing instead?

		[THEO left wtf]
		Go to Hawaii, or like, {0.3}take a bath.

		[MADELINE right sad]
		...
		I guess I feel like I need to accomplish something.

		[THEO left wtf]
		It sounds like you have{n}enough on your plate already.

		[MADELINE right distracted]
		I guess it is kind of extreme.
		But that's how I am.
		I need something to challenge me.

		[MADELINE right sad]
		And I can't just do something a little bit.
		It's all of me, or nothing.

	CH6_THEO_ASK_FAMILY=
		[MADELINE right normal]
		What brought you to the {+MOUNTAIN}?
	CH6_THEO_SAY_FAMILY=
		[MADELINE right normal]
		How about you?
		What brought you to the {+MOUNTAIN}?

		[THEO left normal]
		I'm just kind of bumming around.
		
		[THEO left thinking]
		As usual.

		[THEO left normal]
		I started this new job in Seattle.
		I thought I {~}finally{/~} knew what I was{n}supposed to be doing with my life...

		[THEO left wtf]
		But I hated it.

		[THEO left thinking]
		So I quit after a week and hopped a bus to Canada.

		[THEO left wtf]
		I just felt this urge to...{n}get lost in the middle of nowhere.
		...
		Now that I'm saying it out loud,{n}I realize how flakey it sounds.

		[MADELINE right sad]
		It just sounds like you're under a lot of pressure.

		[THEO left thinking]
		Not really.
		Everyone is so patient with me.

		[THEO left serious]
		Though I guess I am putting a{n}lot of pressure on {~}myself.{/~}

		[THEO left wtf]
		People always think I'm comparing myself to{n}{+ALEX}, but I {~}swear{/~} that isn't the problem.
		I'm just worried that I'll never{n}figure out where I'm going.
		
		[MADELINE right distracted]
		You said you wanted to feel lost...

		[MADELINE right normal]		
		Maybe you should just embrace that for now.

		[THEO left serious]
		Maybe.

	CH6_THEO_ASK_GRANDPA=
		[MADELINE right normal]
		Are you close to your grandpa?
	CH6_THEO_SAY_GRANDPA=
		[MADELINE right normal]
		Are you close to your grandpa?

		[THEO left serious]
		Yeah... I was.

		[MADELINE right distracted]
		Oh... I'm sorry.

		[THEO left serious]
		It's okay. That's just how it is.

		[MADELINE right distracted]
		...

		[THEO left wtf]
		All I can do is stay positive.

		[THEO left serious]
		And live a meaningful life,{n}because that's what he would want.

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I'm so sorry, {+THEO}.

		[THEO left serious]
		Thanks.

	CH6_THEO_ASK_TIPS=
		[MADELINE right normal]
		What else did you learn from your grandpa?
	CH6_THEO_SAY_TIPS=
		[MADELINE right normal]
		What else did you learn from your grandpa?

		[THEO left excited]
		So much stuff!

		[THEO left normal]
		Actually, he was the one who{n}told me about {+CELESTE_MOUNTAIN}.
		He always said that this place changed his life.

		[THEO left thinking]
		After I quit my job in Seattle,{n}I realized how close I was to it.
		I felt like he was telling me to come here.

		[THEO left wtf]
		Grandpa said that the {+MOUNTAIN} was {~}"special."{/~}

		[MADELINE right sad]
		Do you think he went through the temple like us?

		[MADELINE right normal]
		Do you think he understood{n}the power of the {+MOUNTAIN}?
		
		[THEO left thinking]
		He never talked about what happened here.

		[MADELINE right distracted]
		I doubt your grandpa was as messed up as me...

		[MADELINE right sad]
		His experience was probably less... violent.

		[THEO left wtf]
		He found the {+MOUNTAIN} before I was born.
		I don't know what he was like before that.

		[THEO left serious]
		I wonder what he learned about himself here...

	CH6_THEO_ASK_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?
	CH6_THEO_SAY_TEMPLE=
		[THEO left wtf]
		Who do you think built the temple?

		[MADELINE right sad]
		It looks ancient...
		It must predate everything else on the {+MOUNTAIN}.{n}The resort, the ruins, the city...

		[THEO left serious]
		There's a lot of history here.

		[MADELINE right distracted]
		Yeah. 
		This {+MOUNTAIN} has meant so{n}many things to so many people.

		[MADELINE right normal]
		I'm starting to understand why{n}that crazy old lady lives here.

		[THEO left excited]
		You ran into her too?

		[THEO left thinking]
		What's her deal?

		[MADELINE right upset]
		I think she's just a mean person.

		[MADELINE right distracted]
		...but she does seem pretty content living out here.

	CH6_THEO_ASK_SELFIE=
		[MADELINE right normal]
		I want to remember this night...
	CH6_THEO_SAY_SELFIE=
		[MADELINE right normal]
		You know what?
		I want to remember this night...
		Let's take a selfie!

		[THEO left normal]
		I thought you'd never ask.

		{trigger 1 selfie sequence}

		[MADELINE right normal]
		Y'know despite everything,{n}I feel pretty good right now.

		[THEO left wtf]
		Wait a second...

		[THEO left excited]
		You're going to reach the summit tomorrow!

		[MADELINE right upset]
		Don't jinx it.

		[MADELINE right distracted]
		...yeah, I'm excited.

		[MADELINE right normal]
		I'm ready to put this all behind me.

		[THEO left normal]
		I'll be cheering you on.
		We should get some sleep.

		[MADELINE right normal]
		Okay, goodnight, {+THEO}.

		[MADELINE right distracted]
		Thanks for... being cool.

		[THEO left thinking]
		What can I say? It comes naturally.

	CH6_THEO_ASK_SLEEP=
		[MADELINE right distracted]
		I should get some sleep.
	CH6_THEO_SAY_SLEEP=
		[MADELINE right distracted]
		I should get some sleep.

		[THEO left thinking]
		Oh, are you sure you don't want to keep talking?

		[THEO left normal]
		I'm tired too, but we have a lot to talk about.

	CH6_THEO_ASK_SLEEP_CONFIRM=
		[MADELINE right sad]
		Yeah, sorry, I'm really tired.
	CH6_THEO_SAY_SLEEP_CONFIRM=
		[MADELINE right sad]
		Yeah, sorry, I'm really tired.

		{+CH6_THEO_SAY_SELFIE}

	CH6_THEO_ASK_SLEEP_CANCEL=
		[MADELINE right normal]
		You're right, I can sleep later.
	CH6_THEO_SAY_SLEEP_CANCEL=
		[MADELINE right sad]
		You're right, I can sleep later.

	CH6_DREAMING=
		[MADELINE left normal]
		The northern lights are so beautiful.

		[BADELINE right worried]
		Yeah... they are...
		...

		[BADELINE right worriedAlt]
		Where are we?

		[MADELINE left sad]
		We need to talk.

		[BADELINE right worried]
		...okay.

		[MADELINE left distracted]
		I finally understand who you are.

		[MADELINE left sad]
		You're not my true reflection.

		[BADELINE right worriedAlt]
		...I'm not?

		[MADELINE left sad]
		You're everything I need to leave behind.
		You're cruel, paranoid, controlling...

		[BADELINE right worriedAlt]
		Why would you say that?

		[MADELINE left normal]
		No, it's okay!
		I understand now.
		I don't need you anymore.

		[BADELINE right worried]
		So you're just... abandoning me?

		[MADELINE left sad]
		I'm setting you free.

		[MADELINE left normal]
		We'll both be so much happier.

		[BADELINE right worried]
		You're so...

		[BADELINE right sad]
		so...

		[BADELINE right freakA pop]
		{silent_trigger 0 Tentacles Appear}
		...so stupid!

		[BADELINE right freakB pop]
		{silent_trigger 0 Tentacles Appear More}
		You think you can just {~}leave me behind?{/~}
		{silent_trigger 0 Tentacles Appear moooore}
		You think you can blame everything on me?
		{silent_trigger 0 Tentacles Appear EVEN MORE}
		You think you're {~}above{/~} me!?

		[BADELINE right freakC pop]
		{silent_trigger 1 Tentacles grab Madeline}
		{!}{*}ANSWER ME!{/*}{/!}

		[MADELINE left panic]
		Calm down, please...

		{trigger 4 start circling the player}
		[BADELINE right freakC_cont]
		{!}{*}Calm down!?{/*}{/!}

		[MADELINE left determinedclosed]
		Breathe, {+MADELINE}.
		Use the feather.

		{trigger 2 Feather minigame}

		[BADELINE right freakBAlt]
		You're going to {~}think about a feather{/~} to stop me?

		{trigger 3 Destroy feather minigame}

		[BADELINE right freakBAlt]
		You are not {*}above me.{/*}
		And you {*}can't{/*} climb this {+MOUNTAIN}.

		[BADELINE right freakCAlt pop]
		It's time to accept that.

	CH6_THEO_WATCHOUT=
		[THEO left worried]
		{+MADELINE}, what's happening!?

	CH6_REFLECT_AFTER=
		[MADELINE left sad]
		I was so close.

		[MADELINE left panic]
		It's over now.
		Why won't she leave me alone?

		[MADELINE left angry]
		I {*}hate{/*} her.
		...

		[MADELINE left distracted]
		...
		But she's {+PART_OF_ME}.
		I'll never be able to get rid of her.

		[MADELINE left sad]
		And she was right.
		I couldn't climb the {+MOUNTAIN}.

	CH6_OLDLADY=
		[GRANNY right normal]
		Oh, hello again.

		[MADELINE left upset]
		Of course you're here.

		{trigger 0 Zoom in}

		[GRANNY right mock]
		Callin' it quits I see.
		
		[MADELINE left upset]
		No, I fell.
		It's over.

		[GRANNY right normal]
		That's probably for the best.
		The {+MOUNTAIN} doesn't pull any punches.

		[MADELINE left upset]
		Yeah, I get it. 
		I wasn't strong enough to climb your stupid {+MOUNTAIN}.

		[MADELINE left distracted]
		You can laugh at me again if you want.

		{trigger 1 Start laughing}
		
		[MADELINE left upset]
		I didn't mean actually laugh...

		{trigger 2 Stop laughing}
		
		[GRANNY right normal]
		Sometimes you gotta know when to throw in the towel.
		You'll get over it.

		{trigger 3 Maddy walks right}
		
		[MADELINE left angry]
		You know what?
		I had a lot of time to think,{n}climbing out of this cave...	
		And I'm already {*}over it.{/*}

		{trigger 4 Maddy walks left}

		[MADELINE left upset flip]
		That {0.4}{+PART_OF_ME}{0.4} was right, I can't do this.

		[MADELINE left panic flip]
		I'll just... go home to my sad life{n}and {.4}be miserable forever.

		{trigger 5 Wait a bit}
		
		[GRANNY right normal]
		You clearly aren't over it.

		{trigger 6 Maddy turns right}
		
		[MADELINE left upset]
		Shut up, I know.

		[MADELINE left distracted]
		I don't want to give up...
		But no matter how hard I try, she{n}sabotages me every step of the way.
		
		[GRANNY right normal]
		A lot of kids come here to climb{n}this {+mountain}, only to give up.
		It's a shame that you fell,{n}I was starting to think you'd make it.

		[MADELINE left sad]
		What makes me so special?

		[GRANNY right normal]
		I've never met someone so angry at themself.

		{trigger 1 Start lauging}

		[GRANNY right laugh]
		Honestly, I thought you'd reach{n}the summit just to spite yourself.

		[MADELINE left upset]
		Gee, thanks.

		{trigger 2 Stop laughing}

		[GRANNY right normal]
		This girl you're talking about,{n}it sounds like she's holding you back.
		Talk to her.
		Figure out why she's so scared.
		
		[MADELINE left sad]
		You think she's... scared?

		[MADELINE left distracted]
		I guess I never thought of it that way.
		
		[GRANNY right normal]
		Stop wasting both of our time and {~}ask her.{/~}
		What have you got to lose?

	CH6_OLDLADY_B=
		[MADELINE left sad]
		I don't know how to find her...

		[GRANNY right normal]
		She's {+PART_OF_YOU}, right?
		If you look for her, she won't take long to find.

		[MADELINE left upset]
		...so you know about the {+MOUNTAIN}'s power.

		[GRANNY right normal]
		Of course I know, I live here.
		I tried to warn you.

		[MADELINE left upset]
		You need to work on your messaging.

		[GRANNY right normal]
		A glimpse at the truth is good for people.
		Even if most can't accept what they see.
		There's no shame in running back{n}to your car and driving away.
		Some day you'll be ready,{n}then you'll come back.

		[MADELINE left distracted]
		...
		No.

		[MADELINE left sad]
		I'm going to see this through.
		No more running.

		[GRANNY right normal]
		I thought so.
		Good luck.

	CH6_OLDLADY_C=
		[MADELINE left sad]
		How can you stand living here?
		Isn't it hard to deal with this all the time?

		[GRANNY right normal]
		It's true, you never really get used to it.
		But it keeps me sharp.
		I like that about it.

		[MADELINE left sad]
		But the {+MOUNTAIN} is so... confrontational.

		[GRANNY right normal]
		Sure, it doesn't beat around the bush.
		{+CELESTE_MOUNTAIN} is a place of healing, dear.
		The first step of healing{n}is confronting the problem.
		It's never easy.

		[MADELINE left upset]
		Tell me about it.

	CH6_BOSS_START=
		[BADELINE right angry flip]
		Looking for me?
		I thought you were done with me.

		[MADELINE left sad]
		That was a mistake.
		I'm sorry.

		[BADELINE right scoff flip]
		You think you've got it {~}all figured out.{/~}

		[BADELINE right angry flip]
		You think you don't need me.
		
		[MADELINE left upset]
		I said I'm sorry.

		[MADELINE left sad]
		We need to move past this.

		{trigger 0 Badeline floats, zooms in}

		[BADELINE right yell]
		You expect me to trust you?

		[MADELINE left angry]
		You aren't innocent here either.
		...

		[MADELINE left determinedclosed]
		But I know you're scared.
		
		{trigger 1 Maddy steps forward}
		
		[MADELINE left sad]
		Look, we're at rock bottom.
		There's no point in fighting.

		[BADELINE right scoff]
		I can keep digging.

		[BADELINE right angry]
		I could pull us down to the center of the earth.

		[MADELINE left sad]
		What would be the point?

		[MADELINE left together]
		{s 4}Let's climb out of here {.6}[MADELINE left togetherZoom]together.
		
		[BADELINE right yell]
		Come close to me and I'll make you regret it.

	CH6_BOSS_TIRED_A=
		[BADELINE right angry]
		I did you a favor.

	CH6_BOSS_TIRED_B=
		[BADELINE right yell]
		You aren't a {*}mountain climber.{/*}

	CH6_BOSS_TIRED_C=
		[BADELINE right yell]
		{*}I'm just trying to help you!{/*}

	CH6_BOSS_MIDDLE=
		[BADELINE right yell]
		None of this would have {*}happened{/*}{n}if you had {*}listened to me!{/*}

	CH6_BOSS_ENDING=
		[BADELINE right sigh flip]
		Fine.
		You win.

		{silent_trigger 0 Music starts}

		[BADELINE right worried flip]
		I guess you don't need me after all.

		[BADELINE right worriedAlt flip]
		If you want me to go away, I'll try.
		
		[MADELINE left distracted]
		That's not what I want.
		I need your help now more than ever.

		[MADELINE left sad]
		Please. Let's work together.

		[BADELINE right worried flip]
		Work together?

		[BADELINE right worriedAlt flip]
		You're joking, right?

		{trigger 1 Madeline puts hand on Badeline}

		[MADELINE left sad]
		It's okay to be scared.

		{trigger 2 Badeline calms down}

		[BADELINE right worried flip]
		...

	CH6_ENDING=
		[MADELINE left surprised]
		How did we do that?

		[MADELINE left normal]
		If we can climb like that, maybe{n}we can still reach the summit!
		
		[BADELINE right worriedAlt]
		You still want to climb the {+MOUNTAIN}?

		[BADELINE right worried]
		Why would we go back up there?

		{trigger 0 Old Lady enters right}

		[GRANNY right normal]
		It's good to see you two playing nice.

		[MADELINE left sad]
		Hey, thanks for talking some sense into me earlier.

		[GRANNY right normal]
		Don't mention it.
		I'm glad I can still be useful every now and then.

		{portrait none}
		{*}{+MADELINE}!!!{/*}

		{trigger 1 Theo enters left}
		
		[THEO left worried]
		{+MADELINE}! You're okay!

		[THEO left wtf]
		I ran down to help, but it looks like you're doing fine.
		
		[MADELINE right normal]
		Thanks, {+THEO}.

		[MADELINE right distracted]
		Honestly, maybe that fall was what I needed.
		
		{trigger 8 theo stops being tired}
		[THEO left wtf]
		Is this the {+PART_OF_YOU} that you were talking about?

		[THEO left excited]
		She's like an adorable goth {+MADELINE}!

		[BADELINE right angry]
		Hi.

		[MADELINE right sad]
		You were right, {+THEO}.
		I shouldn't be afraid of her.

		[MADELINE right normal]
		If her and I work together,{n}I think we can still finish the climb.

		[THEO left excited]
		That's so rad!

		[BADELINE right angry]
		Wait, {0.4}{*}no{/*}.

		[BADELINE right worried]
		...I didn't agree to this.

		{trigger 2 Madeline turns to the right}

		[BADELINE right worriedAlt]
		You said we'd talk about things first.

		[MADELINE left sad]
		You're right.
		I understand that you're scared.
		
		[MADELINE left distracted]
		But we both know that this is something we want to do.

		[MADELINE left normal]
		We have to try one last time.

		{trigger 7 Theo raises fist}

		[THEO left yolo]
		Yeah! You've got this!
		
		[BADELINE right worried]
		I don't know...

		[BADELINE right worriedAlt]
		We were so close, and then we, uh, fell...

		[BADELINE right worried]
		The {+MOUNTAIN} tore us apart.

		[MADELINE left upset]
		Yeah, that happened.

		[MADELINE left sad]
		But I have to believe we can put that behind us.
		I have to believe we're capable of this.

		{trigger 5 Wait a bit}

		[GRANNY right normal]
		It's not a bad idea.

		{trigger 3 badeline turns right}

		[GRANNY right normal]
		It'll still be difficult, mind you.
		But I'm amazed you got as far as{n}you did, butting heads like you were.
		I reckon you can make it if you cooperate.

		[BADELINE right worried flip]
		...

		{trigger 4 badeline turns left}

		[BADELINE right worriedAlt]
		Okay. 

		[BADELINE right worried]
		I'll try.

		{trigger 5 Wait a bit}

		[THEO left normal]
		Can I help?

		{trigger 6 Madeline turns to the left}

		[MADELINE right distracted]
		You've already done so much for me.

		[THEO left wtf]
		Let me hold your bag at least.

		[MADELINE right normal]
		Good idea.

		[MADELINE right determined]
		{>> 0.2}This won't take long.{>>}

# *** Chapter 07 ***

	CH7_HEIGHT_START=Ground Level
	CH7_HEIGHT_0={X} M
 	CH7_HEIGHT_1={X} M
	CH7_HEIGHT_2={X} M
	CH7_HEIGHT_3={X} M
	CH7_HEIGHT_4={X} M
	CH7_HEIGHT_5={X} M

	# Mountain Base -> Forsaken City
	CH7_ASCEND_0=
		[MADELINE left normal]
		We're getting the hang of that.

		[BADELINE right upset]
		If you say so...

		[MADELINE left determined]
		This mountain doesn't stand a chance.

		[BADELINE right worried]
		Stop jinxing it.

	# Forsaken City -> Old Site
	CH7_ASCEND_1=
		[MADELINE left normal]
		How are you feeling?

		[BADELINE right upset]
		I'm fine.

		[BADELINE right worried]
		I'm just {0.4}waiting for something to go wrong.

		[MADELINE left sad]
		No matter what happens,{n}I'll be right there with you.

		[BADELINE right worried]
		You know what's really scary?
		
		[BADELINE right upset]
		I'm starting to believe you.

	# Old Site -> Celestial Resort
	CH7_ASCEND_2=
		[BADELINE right normal]
		Nice job back there.

		[MADELINE left surprised]
		Look at you!

		[MADELINE left normal]
		{+ST_BAD}Ms\. Positivity{+END_BAD} over here.

		[MADELINE left determined]
		You're so supportive.

		[BADELINE right angry]
		Don't push your luck.
		
	# Celestial Resort -> Cliffside
	CH7_ASCEND_3=
		[MADELINE left distracted]
		I hope {+MROSHIRO} is okay.

		[BADELINE right angry]
		Why? He treated you like garbage.

		[MADELINE left sad]
		Yeah, but I still care about him.
		
		[MADELINE left upset]
		And you didn't have to snap at him like you did.

		[BADELINE right angry]
		Whatever.

		[MADELINE left sad]
		I mean it. You're way too aggressive.

		[BADELINE right angry]
		Well {~}you{/~} put too much energy into bad{n}people who will just end up hurting you.

		[MADELINE left distracted]
		{+MROSHIRO} isn't a bad person...

		[BADELINE right yell]
		He transformed into a {*}monster!{/*}
		He tried to {*}hurt{/*} you!

		[BADELINE right worriedAlt]
		And now you're defending him?

		[MADELINE left distracted]
		I'm not defending him...

		[MADELINE left sad]
		I'm on your side here.{n}I'm mad at him too.
		I might still be in that hotel{n}if you hadn't forced the issue.

		[MADELINE left distracted]
		...but I still hope he's alright.

		[BADELINE right worried]
		...

		[BADELINE right worriedAlt]
		Okay...
		...I'm sorry...

		[BADELINE right worried]
		...for snapping at {+MROSHIRO}.

		[MADELINE left distracted]
		Thanks. 
		
		[MADELINE left sad]
		It's in the past now.
		
	# Cliffside -> Temple
	CH7_ASCEND_4=
		[MADELINE left surprised]
		That was a close one.

		[BADELINE right worried]
		Yeah, I wasn't sure if we'd make it.

		[MADELINE left distracted]
		Maybe you were right.

		[MADELINE left sad]
		Maybe this {~}is{/~} too dangerous.

		[BADELINE right worried]
		...

		[BADELINE right angry]
		{*}No.{/*}
		I was wrong.
		We can climb this {+MOUNTAIN}.

		[BADELINE right normal]
		I've got your back...

		[BADELINE right worried]
		...and...

		[BADELINE right worriedAlt]
		...I believe in you.

		[MADELINE left sad]
		That means a lot to me.
		
	# Temple -> Summit
	CH7_ASCEND_5=
		[MADELINE left determined]
		This is it, the home stretch.

		[MADELINE left normal]
		We're so close.{n}We're going to make it!

		[BADELINE right worriedAlt]
		Yeah...

		[BADELINE right worried]
		...

		[MADELINE left sad]
		What's wrong?

		[BADELINE right worried]
		...I'm just...
		...

		[BADELINE right worriedAlt]
		...I'm sorry. 
		I was holding you back.

		[BADELINE right worried]
		I need to learn to trust you.

		[MADELINE left distracted]
		It's not your fault.
		I tried to leave you behind.
		And honestly, I've been trying to{n}leave you behind my entire life.

		[MADELINE left sad]
		{~}I'm{/~} sorry.
		I wish I tried to understand you sooner.
		I was too proud, or stubborn, or {*}something.{/*}

		[BADELINE right worriedAlt]
		We wasted so much time and energy.

		[BADELINE right worried]
		...

		[BADELINE right worriedAlt]
		At least we're finally talking about it.

		[MADELINE left sad]
		Yeah...

		[MADELINE left normal]
		I'm glad the {+MOUNTAIN} brought you out.
		I think we can move past this.
		If we can climb this {+MOUNTAIN} together,{n}we can do anything.
		
		[BADELINE right worried]
		What if we don't make it?

		[MADELINE left normal]
		I'd be okay with that.

		[BADELINE right worriedAlt]
		You would?

		[MADELINE left sad]
		Of course.
		
		[MADELINE left normal]
		I'm just glad we're trying.

		[MADELINE left sad]
		I really needed to do this.
		
		[BADELINE right upset]
		I'm finally starting to understand why.

		[BADELINE right normal]
		Let's finish it.

	CH7_ENDING=
		[BADELINE left normal]
		We actually did it.
		I can't believe it!

		[MADELINE right surprised flip]
		Wow! It's so beautiful!
		
		[MADELINE right normal flip]
		Look at how far we've come!

		{trigger 1 Madeline sits down}

		[BADELINE left normal]
		I'm glad I got to see this before I...

		[BADELINE left worriedAlt]
		Well, before I...

		[MADELINE right distracted flip]
		Oh, right.

		[MADELINE right sad flip]
		When we leave the {+MOUNTAIN}, you{n}won't be able to talk to me anymore...
		At least not like this.

		[BADELINE left worried]
		Yeah.

		[BADELINE left upset]
		I know that we need to go home eventually.
		But it'll be scary to lose this body.

		{trigger 2 Badeline moves beside Maddy as camera begins panning right}

		[MADELINE left sad]
		You'll still exist, though.
		You were {+PART_OF_ME} before we came here.

		[BADELINE left upset]
		Yeah, I know.
		But I'm gonna have to depend on you to listen to me.

		[BADELINE left worried]
		...even if I can't talk to you in person anymore.

		[BADELINE left worriedAlt]
		I just... can't go back to how it was before.
		Before the {+MOUNTAIN}.

		[MADELINE right sad flip]
		Don't worry, I can't go back to that either.
		I really want us to work together from now on.

		[BADELINE left upset]
		I believe you.

		[BADELINE left worriedAlt]
		...but I'm still nervous.

		{trigger 0 Wait a bit}
		
		[BADELINE left upset]
		So... now what?

		[MADELINE right distracted flip]
		...

		[MADELINE right normal flip]
		Let's just enjoy this for a bit.

	CH7_BSIDE_ASCEND=
		[BADELINE left freakA]
		That was amazing!

		[MADELINE right surprised]
		I can't believe we did that!

		[BADELINE left freakA]
		Nothing can stop us!

		[MADELINE right upset]
		You're scaring me right now.

	CH7_CSIDE_OLDLADY=
		[GRANNY right normal]
		It's hard to believe that it's over, isn't it?

		[GRANNY right laugh]
		Funny how we get attached to the struggle.

		[GRANNY right normal]
		Promise me that you'll take care of yourself, okay?

	CH7_CSIDE_OLDLADY_B=
		[GRANNY right normal]
		Well?
		What are you waiting for?

# *** Epilogue ***

	EP_CABIN=
		[GRANNY right normal]
		Welcome back.

		[THEO right excited]
		{+MADELINE}!
		Did you make it to the summit?
		
		{trigger 0 Badeline emerges}

		[MADELINE left normal]
		Yeah, we did.
		It was incredible.

		[GRANNY right normal]
		Beautiful, isn't it?

		[BADELINE left upset]
		I didn't think it would be worth it...

		[BADELINE left normal]
		But it totally was.

		[THEO right thinking]
		I should've given you my phone so{n}you could take {~}The Ultimate Selfie.{/~}

		{trigger 1 Fade out, hear knock on door, fade in and Oshiro enters}

		[OSHIRO left normal]
		Good evening, everyone.

		[BADELINE right angry]
		What are {~}you{/~} doing here?

		[OSHIRO left normal]
		A little bird told me there was to be a party.

		[OSHIRO left sidehappy]
		{+thought}RSVP-by-bird, positively magical!{+endthought}

		[OSHIRO left drama]
		But if I am unwelcome, I shall take my leave.

		[MADELINE right sad]
		Please stay, {+MROSHIRO}.

		[MADELINE right normal]
		It's good to see you.

		{trigger 2 Oshiro settles in}

		[GRANNY left normal]
		Y'know, this is the first time I've seen{n}you outside that hotel of yours, {+OSHIRO}.
		I'm glad you made it.
		{+MADELINE} here is baking us a pie with all{n}of the strawberries she's been collecting.

		[OSHIRO left normal]
		Oh, that's wonderful, {+MS_MADELINE}.

		[THEO right normal]
		I haven't had {# F94A4A}strawberry pie{#} since I was a kid.

		[THEO right excited]
		This is gonna be amazing!

		[BADELINE right scoff]
		Don't get your hopes up, she's not much of a baker.

		{trigger 3 Maddy Turns}

		[MADELINE left normal]
		You also said I wasn't a mountain climber.

		[BADELINE right worried]
		True.

		{trigger 3 Maddy Turns}

		[MADELINE right sad]
		I can't promise it'll live up to the hype, {+THEO}.

		[MADELINE right normal]
		But I tried my best.

	EP_PIE_START=
		[MADELINE right normal]
		So?
		How's it taste?

	EP_PIE_DISAPPOINTED=
		[THEO left wtf]
		I guess this is technically a pie...

		[OSHIRO left worried]
		Is this some kind of joke, {+MS_MADELINE}?

		[GRANNY left normal]
		Strawberry pies are supposed to{n}have strawberries in them, dear.

	EP_PIE_GROSSED_OUT=
		[THEO left wtf]
		{+MADELINE}, I super appreciate you baking for us...
		But I don't think I can eat this.

		[GRANNY left normal]
		It's the thought that counts.

		[BADELINE left angry]
		You people just can't appreciate good food.
		I'll eat all of it myself.

		[MADELINE right sad]
		You don't have to do that.

		[BADELINE left worried]
		Yeah... it was an empty threat.

	EP_PIE_OKAY=
		[OSHIRO left normal]
		The important thing is that you{n}tried your best, {+MS_MADELINE}.

		[BADELINE left angry]
		Who invited this guy?

		[THEO left thinking]
		Come on, it's really good.

		[GRANNY left normal]
		I've certainly had worse.

